,STATION,NAME,DATE,TMAX
160,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-10,32.8
161,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-11,33.3
162,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-12,34.4
163,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-13,34.4
164,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-14,34.4
165,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-15,32.8
166,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-16,32.2
167,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-17,34.4
168,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-18,33.3
169,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-19,34.4
170,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-20,34.4
171,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-21,35.6
172,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-22,31.7
173,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-23,31.7
174,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-24,33.3
175,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-25,34.4
176,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-26,33.9
177,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-27,35.0
178,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-28,32.8
179,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-29,28.9
180,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-06-30,29.4
181,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-01,30.0
182,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-02,31.7
183,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-03,31.1
184,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-04,31.7
185,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-05,31.1
186,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-06,30.0
187,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-07,31.7
188,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-08,33.3
189,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-09,33.3
190,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-10,33.9
191,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-11,32.2
192,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-12,33.9
193,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-13,33.3
194,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-14,34.4
195,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-15,35.0
196,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-16,31.1
197,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-17,32.8
198,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-18,31.1
199,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-19,32.8
200,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-20,33.9
201,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-21,33.9
202,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-22,35.0
203,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-23,35.0
204,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-24,33.9
205,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-25,34.4
206,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-26,33.3
207,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-27,34.4
208,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-28,34.4
209,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-29,35.0
210,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-30,35.6
211,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-07-31,36.1
212,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-01,37.8
213,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-02,37.8
214,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-03,33.9
215,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-04,34.4
216,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-05,32.8
217,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-06,34.4
218,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-07,35.0
219,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-08,35.0
220,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-09,34.4
221,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-10,35.0
222,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-11,31.7
223,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-12,30.6
224,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-13,29.4
225,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-14,33.3
226,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-15,34.4
227,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-16,34.4
228,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-17,31.1
229,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-18,32.2
230,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-19,32.8
231,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-20,33.3
232,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-21,35.6
233,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-22,35.0
234,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-23,35.0
235,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-24,35.0
236,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-25,33.9
237,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-26,33.3
238,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-27,31.7
239,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-28,26.7
240,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-29,29.4
241,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-30,32.2
242,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-08-31,30.6
243,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-01,31.1
244,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-02,33.3
245,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-03,32.8
246,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-04,30.6
247,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-05,31.7
248,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-06,33.3
249,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-07,33.9
250,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-08,33.3
251,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-09,32.8
252,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-10,33.3
253,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-11,34.4
254,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-12,34.4
255,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-13,32.2
256,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-14,32.8
257,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-15,33.3
258,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-16,32.8
259,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-17,32.8
260,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-18,33.9
261,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-19,32.8
262,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-20,32.8
263,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-21,33.3
264,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-22,33.3
265,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-23,33.3
266,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-24,32.2
267,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-25,31.1
268,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-26,32.8
269,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-27,27.8
270,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-28,27.8
271,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-29,29.4
272,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-09-30,30.0
273,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-01,30.0
274,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-02,28.3
275,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-03,26.1
276,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-04,22.8
277,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-05,23.9
278,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-06,26.1
279,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-07,27.8
280,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-08,31.1
281,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-09,32.2
282,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-10,31.1
283,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-11,29.4
284,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-12,28.3
285,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-13,27.8
286,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-14,27.2
287,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-15,26.7
288,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-16,29.4
289,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-17,29.4
290,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-18,27.2
291,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-19,28.3
292,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-20,28.9
293,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-21,28.3
294,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-22,28.9
295,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-23,28.9
296,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-24,29.4
297,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-25,31.1
298,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-26,31.7
299,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-27,30.6
300,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-28,26.1
301,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-29,22.8
302,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-30,24.4
303,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-10-31,25.6
304,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-01,28.3
305,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-02,23.3
306,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-03,25.0
307,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-04,20.6
308,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-05,16.7
309,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-06,17.2
310,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-07,17.2
311,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-08,20.6
312,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-09,26.1
313,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-10,24.4
314,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-11,25.0
315,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-12,26.7
316,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-13,26.1
317,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-14,18.3
318,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-15,21.7
319,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-16,22.2
320,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-17,20.6
321,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-18,19.4
322,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-19,18.9
323,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-20,19.4
324,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-21,26.1
325,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-22,26.7
326,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-23,28.3
327,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-24,27.2
328,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-25,27.8
329,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-26,22.2
330,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-27,15.0
331,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-28,18.3
332,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-29,26.7
333,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-11-30,22.8
334,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-01,14.4
335,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-02,17.8
336,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-03,21.7
337,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-04,25.6
338,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-05,17.8
339,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-06,10.6
340,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-07,11.7
341,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-08,10.6
342,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-09,11.1
343,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-10,18.9
344,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-11,22.8
345,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-12,14.4
346,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-13,7.8
347,USW00012916,"NEW ORLEANS AIRPORT, LA US",2010-12-14,10.6
